source,network
tricitysun,metric_media
upgazette,metric_media
warrensun,UNKNOWN
waterfordtoday,metric_media
wcmichigannews,UNKNOWN
westernwaynetoday,metric_media
anokatimes,metric_media
dakotatimes,metric_media
easttwincities,metric_media
mabeltoday,franklin_archer
minneapolisreview,metric_media
minnesotastatewire,metric_media
mnbusinessdaily,UNKNOWN
mncatholictribune,UNKNOWN
ncminnesotanews,metric_media
northhennepinnews,metric_media
northramseynews,metric_media
nwminnesotanews,metric_media
nwtwincities,metric_media
scminnesotanews,metric_media
seminnesotanews,metric_media
setwincities,metric_media
southhennepinnews,metric_media
stcloudsun,metric_media
stpaulreporter,metric_media
swminnesotatoday,metric_media
wcminnesotanews,metric_media
westtwincities,metric_media
ecmissnews,UNKNOWN
gtrtimes,metric_media
hindstoday,metric_media
magnoliastatenews,metric_media
msbusinessdaily,UNKNOWN
msgulfnews,UNKNOWN
ncmissnews,UNKNOWN
nemissnews,UNKNOWN
nwmissnews,UNKNOWN
oxfordreporter,metric_media
pinebelttimes,metric_media
scmissnews,UNKNOWN
swmissnews,UNKNOWN
wcmissnews,UNKNOWN
almastandard,franklin_archer
bransontimes,metric_media
capemonews,UNKNOWN
centralmissourinews,metric_media
centralstlnews,metric_media
clayreporter,metric_media
columbiamonews,UNKNOWN
jeffcitynews,UNKNOWN
jeffcotimes,UNKNOWN
kcreporter,metric_media
mobusinessdaily,UNKNOWN
nekansascitynews,metric_media
nemissourinews,metric_media
northstlnews,metric_media
nwmissouritimes,metric_media
plattenews,metric_media
scmissourinews,metric_media
sekansascitynews,metric_media
semissourinews,metric_media
showmestatetimes,metric_media
southkcnews,metric_media
southstlnews,metric_media
springfieldstandard,metric_media
stcharlestimes,metric_media
steelvilleguide,franklin_archer
stlouisreporter,metric_media
stlrecord,UNKNOWN
stlwestnews,metric_media
swmissouriguide,franklin_archer
swmissourinews,metric_media
wcmissourinews,metric_media
weststlnews,metric_media
bigskytimes,metric_media
centralmontanatimes,metric_media
glaciercountrynews,metric_media
mtbusinessdaily,UNKNOWN
nemontananews,UNKNOWN
nwmontananews,UNKNOWN
semontananews,UNKNOWN
swmontanatimes,UNKNOWN
yellowstonetimes,metric_media
auroraneguide,UNKNOWN
bluehillguide,franklin_archer
cornhuskerstatenews,metric_media
ecnebraskanews,metric_media
nebraskabusinessdaily,franklin_archer
nenebraskanews,metric_media
nepanhandlenews,UNKNOWN
northomahatimes,metric_media
omaharecord,UNKNOWN
sandhillstoday,metric_media
scnebraskanews,metric_media
senebraskanews,metric_media
southomahatimes,metric_media
eaglevalleytimes,metric_media
lasvegasrecord,UNKNOWN
moapavalleyguide,franklin_archer
northnevadanews,metric_media
northvegastimes,metric_media
nvbusinessdaily,UNKNOWN
nwclarknews,metric_media
renoreporter,metric_media
sevegasnews,metric_media
silverstatetimes,metric_media
swvegasnews,metric_media
washoenews,metric_media
concordledger,metric_media
dartmouthtimes,metric_media
granitestatetimes,metric_media
hillsboroughsun,metric_media
lakeregionnews,metric_media
nhbusinessdaily,UNKNOWN
northcountryreporter,metric_media
rockinghamtimes,metric_media
straffordnews,metric_media
swnewhampshirenews,metric_media
atlanticcotimes,UNKNOWN
burlingtonreview,metric_media
gardenstatetimes,metric_media
gloucestertoday,metric_media
hudsontoday,metric_media
mercertimes,metric_media
monmouthtimes,metric_media
morrisleader,metric_media
nebergennews,metric_media
newarkreporter,metric_media
njbusinessdaily,UNKNOWN
northessexnews,metric_media
northmiddlesextimes,metric_media
nwbergennews,metric_media
nwjerseynews,metric_media
oceancountyleader,metric_media
passiacnews,UNKNOWN
somersettimes,metric_media
southbergennews,metric_media
southjerseysun,metric_media
southmiddlesextimes,metric_media
unioncountyreview,metric_media
westessexnews,metric_media
abqtimes,metric_media
eastnewmexiconews,metric_media
enchantmentstatenews,metric_media
nenewmexiconews,metric_media
nmbusinessdaily,UNKNOWN
nwnewmexiconews,metric_media
sandovalnews,metric_media
santafestandard,metric_media
southabqnews,metric_media
swnewmexiconews,metric_media
wcnewmexiconews,metric_media
buffaloledger,metric_media
capitaldistricttimes,metric_media
easthudvalleynews,UNKNOWN
empirestatetoday,metric_media
fingerlakestoday,metric_media
mohawkvalleytimes,metric_media
monroenynews,metric_media
nassaustandard,metric_media
nenewyorktoday,metric_media
niagaraleader,metric_media
northcountryleader,metric_media
nybusinessdaily,UNKNOWN
nycgazette,metric_media
oneidatimes,metric_media
rochesterreporter,metric_media
rocklandreporter,metric_media
saratogastandard,metric_media
scnewyorknews,metric_media
statenislandreporter,metric_media
suffolkreporter,metric_media
syracusesun,metric_media
westchesterreporter,metric_media
westhudvalleynews,UNKNOWN
westnynews,metric_media
ashevillereporter,metric_media
burlingtonreporter,metric_media
cabarrustoday,metric_media
chapelhillreview,metric_media
durhamreporter,metric_media
eastlakenormannews,metric_media
eastwaketimes,metric_media
ecnorthcarolinanews,metric_media
fayettevilletoday,metric_media
foothillsreview,metric_media
gastoniatimes,metric_media
greensbororeporter,metric_media
greenvillereporter,metric_media
hickorysun,metric_media
highcountrytimes,metric_media
ibxnews,metric_media
johnstonreporter,metric_media
nantahalanews,metric_media
ncbusinessdaily,UNKNOWN
ncncnews,UNKNOWN
ncunionnews,UNKNOWN
nepiedmontnews,metric_media
northcharlottetoday,metric_media
northguilfordnews,metric_media
northiredellnews,metric_media
northmecklenburgnews,metric_media
northraleightoday,metric_media
northtrianglenews,metric_media
northwakenews,metric_media
oldnorthnews,metric_media
onslownews,metric_media
outerbankstimes,metric_media
pinehursttoday,metric_media
randolphcountynews,metric_media
rockymounttoday,metric_media
rowannews,metric_media
senorthcarolinanews,metric_media
southashevillenews,metric_media
southcharlottetoday,metric_media
southguilfordnews,metric_media
southmecklenburgnews,metric_media
southncnews,UNKNOWN
southraleighnews,metric_media
southtrianglenews,metric_media
southwinstonsalemnews,metric_media
westlakenormannews,metric_media
westwakenews,metric_media
winstonsalemtimes,metric_media
yadkinvalleynews,metric_media
centralndnews,metric_media
fargostandard,metric_media
ndbusinessdaily,UNKNOWN
ndnorthnews,metric_media
nenorthdakotanews,metric_media
peacegardennews,metric_media
westernndnews,metric_media
akronreporter,metric_media
buckeyereporter,metric_media
butlercountytoday,metric_media
cantonreporter,metric_media
centralohiotoday,metric_media
cincyreporter,metric_media
clermonttimes,metric_media
clevelandreporter,metric_media
daytonreporter,metric_media
delcoreview,UNKNOWN
eastclevelandnews,metric_media
eaststarknews,metric_media
ecohionews,metric_media
fairfieldreporter,metric_media
findlaytimes,metric_media
greenecotimes,UNKNOWN
lakecountytimes,metric_media
lickingtoday,metric_media
limareporter,metric_media
loraintimes,metric_media
mansfieldtimes,metric_media
marionmorrowtimes,metric_media
medinatoday,metric_media
nefranklinnews,metric_media
neohiotimes,metric_media
northcincynews,metric_media
northcolumbusnews,metric_media
northdaytonnews,metric_media
northsummitnews,metric_media
nwfranklinnews,metric_media
nwohiotimes,metric_media
ohbusinessdaily,UNKNOWN
portagetimes,metric_media
seohiotimes,metric_media
southcolumbusnews,metric_media
southcuyahoganews,metric_media
southdaytonnews,metric_media
southfranklinnews,metric_media
southohionews,metric_media
southsummitnews,metric_media
toledoreporter,metric_media
triconews,UNKNOWN
trumballnews,metric_media
tuscarawasnews,metric_media
vacationlandtimes,metric_media
warrenclintonnews,metric_media
waynecountytoday,metric_media
westclevelandnews,metric_media
westhamiltonnews,metric_media
westlucasnews,metric_media
weststarknews,metric_media
youngstowntimes,metric_media
beggsguide,franklin_archer
bixbyguide,franklin_archer
canadianvalleyguide,franklin_archer
eastokcnews,metric_media
ecoklahomanews,metric_media
jayokguide,UNKNOWN
ncoklahomanews,metric_media
neoklahomanews,metric_media
northokcnews,metric_media
